period,flowDesc,partnerDesc,cmdCode,primaryValue
2019,Import,World,300460,58172
2019,Import,China,300460,46777
2019,Import,Italy,300460,11395
2019,Export,World,300460,81096547
2019,Export,Afghanistan,300460,2100
2019,Export,Angola,300460,1094613
2019,Export,Austria,300460,4
2019,Export,Belgium,300460,718319
2019,Export,Brazil,300460,124550
2019,Export,Belize,300460,170
2019,Export,Myanmar,300460,145954
2019,Export,Burundi,300460,22886
2019,Export,Cameroon,300460,3278125
2019,Export,Canada,300460,100000
2019,Export,Central African Rep.,300460,567490
2019,Export,Sri Lanka,300460,3230
2019,Export,Chad,300460,100146
2019,Export,Colombia,300460,12891
2019,Export,Comoros,300460,404869
2019,Export,Congo,300460,381244
2019,Export,Dem. Rep. of the Congo,300460,4600434
2019,Export,Benin,300460,85000
2019,Export,Denmark,300460,120000
2019,Export,Ecuador,300460,1279
2019,Export,Equatorial Guinea,300460,193878
2019,Export,Ethiopia,300460,827604
2019,Export,France,300460,7933193
2019,Export,Djibouti,300460,84929
2019,Export,Gabon,300460,1960
2019,Export,Gambia,300460,107860
2019,Export,Germany,300460,25481
2019,Export,Ghana,300460,3343068
2019,Export,Guinea,300460,1837305
2019,Export,Guyana,300460,1994
2019,Export,"China, Hong Kong SAR",300460,1098101
2019,Export,Indonesia,300460,1047906
2019,Export,Iran,300460,689
2019,Export,C?te d'Ivoire,300460,624034
2019,Export,Japan,300460,128
2019,Export,Kenya,300460,3706266
2019,Export,Rep. of Korea,300460,27600
2019,Export,Lao People's Dem. Rep.,300460,4375
2019,Export,Liberia,300460,176499
2019,Export,Madagascar,300460,96896
2019,Export,Malawi,300460,957734
2019,Export,Malaysia,300460,80745
2019,Export,Mali,300460,757718
2019,Export,Mauritania,300460,4555
2019,Export,Mauritius,300460,1365
2019,Export,Mozambique,300460,522484
2019,Export,Oman,300460,33908
2019,Export,Nepal,300460,3300
2019,Export,Netherlands,300460,772189
2019,Export,Niger,300460,2439719
2019,Export,Nigeria,300460,22141253
2019,Export,Pakistan,300460,7200
2019,Export,Papua New Guinea,300460,247172
2019,Export,Peru,300460,9568
2019,Export,Philippines,300460,35967
2019,Export,Guinea-Bissau,300460,36000
2019,Export,Rwanda,300460,241577
2019,Export,Sao Tome and Principe,300460,92764
2019,Export,Saudi Arabia,300460,47012
2019,Export,Senegal,300460,563097
2019,Export,Sierra Leone,300460,643336
2019,Export,India,300460,380379
2019,Export,Singapore,300460,99901
2019,Export,Viet Nam,300460,1
2019,Export,Somalia,300460,629573
2019,Export,South Africa,300460,334388
2019,Export,Zimbabwe,300460,139260
2019,Export,South Sudan,300460,1099962
2019,Export,Sudan,300460,102064
2019,Export,Switzerland,300460,733602
2019,Export,Thailand,300460,49542
2019,Export,Togo,300460,211960
2019,Export,Trinidad and Tobago,300460,7650
2019,Export,United Arab Emirates,300460,18543
2019,Export,T¨¹rkiye,300460,27937
2019,Export,Uganda,300460,2389643
2019,Export,Egypt,300460,1700
2019,Export,United Kingdom,300460,323233
2019,Export,United Rep. of Tanzania,300460,5747874
2019,Export,USA,300460,1396730
2019,Export,Burkina Faso,300460,2948830
2019,Export,Venezuela,300460,320000
2019,Export,Yemen,300460,1065387
2019,Export,Zambia,300460,526655
2020,Import,World,300460,404746
2020,Import,Cyprus,300460,395471
2020,Import,Italy,300460,9275
2020,Export,World,300460,109008820
2020,Export,Angola,300460,1745843
2020,Export,Bangladesh,300460,18626
2020,Export,Belgium,300460,3090
2020,Export,Myanmar,300460,31133
2020,Export,Burundi,300460,997868
2020,Export,Cambodia,300460,7575
2020,Export,Cameroon,300460,5004559
2020,Export,Canada,300460,50000
2020,Export,Central African Rep.,300460,263023
2020,Export,Sri Lanka,300460,574
2020,Export,Chad,300460,314562
2020,Export,Congo,300460,1026
2020,Export,Dem. Rep. of the Congo,300460,12733016
2020,Export,Benin,300460,538948
2020,Export,Denmark,300460,298062
2020,Export,Equatorial Guinea,300460,80513
2020,Export,Ethiopia,300460,968218
2020,Export,France,300460,9471319
2020,Export,Djibouti,300460,19306
2020,Export,Gabon,300460,1482
2020,Export,Gambia,300460,77346
2020,Export,Germany,300460,42414
2020,Export,Ghana,300460,1139764
2020,Export,Guinea,300460,4096302
2020,Export,Guyana,300460,4395
2020,Export,Haiti,300460,110427
2020,Export,"China, Hong Kong SAR",300460,5497
2020,Export,Indonesia,300460,607972
2020,Export,C?te d'Ivoire,300460,993415
2020,Export,Jamaica,300460,1275
2020,Export,Japan,300460,1000
2020,Export,Kenya,300460,3045595
2020,Export,Dem. People's Rep. of Korea,300460,395471
2020,Export,Rep. of Korea,300460,250
2020,Export,Lao People's Dem. Rep.,300460,5335
2020,Export,Lebanon,300460,4180
2020,Export,Liberia,300460,175395
2020,Export,Libya,300460,12680
2020,Export,"China, Macao SAR",300460,103
2020,Export,Madagascar,300460,3005830
2020,Export,Malawi,300460,1464963
2020,Export,Malaysia,300460,20818
2020,Export,Mali,300460,1611713
2020,Export,Mauritania,300460,21
2020,Export,Montenegro,300460,26522
2020,Export,Morocco,300460,62
2020,Export,Mozambique,300460,3757842
2020,Export,Oman,300460,28812
2020,Export,Netherlands,300460,899837
2020,Export,Niger,300460,977140
2020,Export,Nigeria,300460,24462249
2020,Export,Papua New Guinea,300460,84915
2020,Export,Philippines,300460,97942
2020,Export,Guinea-Bissau,300460,9578
2020,Export,Rwanda,300460,540
2020,Export,Senegal,300460,1177308
2020,Export,Sierra Leone,300460,633122
2020,Export,India,300460,109568
2020,Export,Singapore,300460,6451
2020,Export,Viet Nam,300460,10201
2020,Export,Somalia,300460,866155
2020,Export,South Africa,300460,18323
2020,Export,Zimbabwe,300460,122587
2020,Export,Spain,300460,5180
2020,Export,South Sudan,300460,1080063
2020,Export,Sudan,300460,2508448
2020,Export,Switzerland,300460,699649
2020,Export,Thailand,300460,12288
2020,Export,Togo,300460,690917
2020,Export,United Arab Emirates,300460,138908
2020,Export,Tunisia,300460,166
2020,Export,T¨¹rkiye,300460,8544
2020,Export,Uganda,300460,5947488
2020,Export,United Kingdom,300460,157864
2020,Export,United Rep. of Tanzania,300460,5945239
2020,Export,USA,300460,62310
2020,Export,Burkina Faso,300460,4800646
2020,Export,Yemen,300460,1595434
2020,Export,Zambia,300460,2695618
2021,Import,World,300460,9872
2021,Import,China,300460,2029
2021,Import,Italy,300460,4604
2021,Import,Nigeria,300460,28
2021,Import,India,300460,714
2021,Import,Switzerland,300460,880
2021,Import,USA,300460,1617
2021,Export,World,300460,113893682
2021,Export,Afghanistan,300460,5869
2021,Export,Angola,300460,3977554
2021,Export,Bangladesh,300460,4
2021,Export,Belgium,300460,3320
2021,Export,Myanmar,300460,493
2021,Export,Burundi,300460,1157925
2021,Export,Cambodia,300460,45031
2021,Export,Cameroon,300460,6916898
2021,Export,Canada,300460,48756
2021,Export,Central African Rep.,300460,1869297
2021,Export,Chad,300460,472904
2021,Export,Congo,300460,166127
2021,Export,Dem. Rep. of the Congo,300460,9684462
2021,Export,Benin,300460,171
2021,Export,Denmark,300460,268002
2021,Export,Equatorial Guinea,300460,36473
2021,Export,Ethiopia,300460,620409
2021,Export,France,300460,15689776
2021,Export,Djibouti,300460,155741
2021,Export,Gabon,300460,31465
2021,Export,Gambia,300460,159128
2021,Export,Germany,300460,18833
2021,Export,Ghana,300460,1845973
2021,Export,Guinea,300460,4525213
2021,Export,Guyana,300460,20
2021,Export,Indonesia,300460,413979
2021,Export,C?te d'Ivoire,300460,1464875
2021,Export,Jordan,300460,268
2021,Export,Kenya,300460,3566405
2021,Export,Liberia,300460,134492
2021,Export,Madagascar,300460,813739
2021,Export,Malawi,300460,2373510
2021,Export,Malaysia,300460,20100
2021,Export,Mali,300460,1240605
2021,Export,Mauritania,300460,32
2021,Export,Montenegro,300460,75903
2021,Export,Mozambique,300460,1162123
2021,Export,Nepal,300460,166
2021,Export,Netherlands,300460,244474
2021,Export,Niger,300460,2412502
2021,Export,Nigeria,300460,29796299
2021,Export,Pakistan,300460,6700
2021,Export,Papua New Guinea,300460,147055
2021,Export,Philippines,300460,44306
2021,Export,Guinea-Bissau,300460,74386
2021,Export,Timor-Leste,300460,132
2021,Export,Rwanda,300460,29661
2021,Export,Sao Tome and Principe,300460,79842
2021,Export,Senegal,300460,1045839
2021,Export,Sierra Leone,300460,796255
2021,Export,India,300460,79650
2021,Export,Singapore,300460,11050
2021,Export,Somalia,300460,432255
2021,Export,South Africa,300460,13532
2021,Export,Zimbabwe,300460,124615
2021,Export,South Sudan,300460,515353
2021,Export,Sudan,300460,1960729
2021,Export,Switzerland,300460,837099
2021,Export,Thailand,300460,68398
2021,Export,Togo,300460,855258
2021,Export,United Arab Emirates,300460,53919
2021,Export,T¨¹rkiye,300460,20300
2021,Export,Uganda,300460,2198218
2021,Export,United Rep. of Tanzania,300460,5133624
2021,Export,USA,300460,308220
2021,Export,Burkina Faso,300460,4078024
2021,Export,Yemen,300460,754448
2021,Export,Zambia,300460,2805498
2022,Import,World,300460,4153
2022,Import,Italy,300460,3623
2022,Import,India,300460,530
2022,Export,World,300460,92839814
2022,Export,Angola,300460,2054382
2022,Export,Bangladesh,300460,6
2022,Export,Belgium,300460,695
2022,Export,Solomon Isds,300460,18617
2022,Export,Myanmar,300460,56367
2022,Export,Burundi,300460,128772
2022,Export,Cambodia,300460,88897
2022,Export,Cameroon,300460,3483776
2022,Export,Canada,300460,174839
2022,Export,Central African Rep.,300460,303236
2022,Export,Sri Lanka,300460,638
2022,Export,Chad,300460,312798
2022,Export,Comoros,300460,370636
2022,Export,Congo,300460,296
2022,Export,Dem. Rep. of the Congo,300460,12033900
2022,Export,Cyprus,300460,500
2022,Export,Benin,300460,464675
2022,Export,Denmark,300460,12200
2022,Export,Equatorial Guinea,300460,116415
2022,Export,Ethiopia,300460,949940
2022,Export,France,300460,12584872
2022,Export,Gabon,300460,195
2022,Export,Gambia,300460,191528
2022,Export,Germany,300460,36327
2022,Export,Ghana,300460,2160538
2022,Export,Guinea,300460,1337710
2022,Export,"China, Hong Kong SAR",300460,34902
2022,Export,Indonesia,300460,920745
2022,Export,C?te d'Ivoire,300460,2301890
2022,Export,Kenya,300460,3279543
2022,Export,Rep. of Korea,300460,713
2022,Export,Lebanon,300460,976
2022,Export,Liberia,300460,399092
2022,Export,"China, Macao SAR",300460,20
2022,Export,Madagascar,300460,631838
2022,Export,Malawi,300460,6028
2022,Export,Malaysia,300460,93310
2022,Export,Mali,300460,3343238
2022,Export,Mauritania,300460,45719
2022,Export,Mauritius,300460,275
2022,Export,Montenegro,300460,8230
2022,Export,Mozambique,300460,3798409
2022,Export,Oman,300460,19100
2022,Export,Netherlands,300460,6881
2022,Export,Niger,300460,432217
2022,Export,Nigeria,300460,13862872
2022,Export,Pakistan,300460,16719
2022,Export,Papua New Guinea,300460,269961
2022,Export,Philippines,300460,32601
2022,Export,Portugal,300460,3920
2022,Export,Timor-Leste,300460,54
2022,Export,Rwanda,300460,115337
2022,Export,Senegal,300460,996674
2022,Export,Serbia,300460,178
2022,Export,Sierra Leone,300460,999867
2022,Export,India,300460,740
2022,Export,Singapore,300460,8590
2022,Export,Somalia,300460,737052
2022,Export,South Africa,300460,36601
2022,Export,Zimbabwe,300460,35995
2022,Export,South Sudan,300460,1219487
2022,Export,Sudan,300460,1598335
2022,Export,Switzerland,300460,1290657
2022,Export,Syria,300460,488
2022,Export,Thailand,300460,79565
2022,Export,Togo,300460,675314
2022,Export,United Arab Emirates,300460,36616
2022,Export,Uganda,300460,5829470
2022,Export,Egypt,300460,1220
2022,Export,United Rep. of Tanzania,300460,3099577
2022,Export,USA,300460,61430
